NAME,COMPONENT_ID,ABBREVIATION,EXTERNAL_NAME,BASE_NAME,COMPONENT_TYPE,LAB_DATA_TYPE_C,COMMON_NAME,LOINC_CODE,COMPONENT_SUBTYPE_C,RECORD_STATE,GROUP_TYPE_C,DEFAULT_LOW,DEFAULT_HIGH,DFLT_UNITS,,
% CD11B,1926,,% CD11b,,,,% CD11B,,,2,,,,%,,
% CD11C,7150,,% CD11c,CD11C,,,% CD11C,8109-1,,,,,,%,,
% CD13,3881,,% CD13,,,,% CD13,,,2,,,,%,,
% CD13,2999,,% CD13,CD13,,,% CD13,20588-0,,,,,,%,,
% CD13,1536,,% CD13,,,,% CD13,,,2,,,,%,,
% CD13,1276,,% CD13,,,,% CD13,,,2,,,,%,,
% CD138,4033,,% CD138,CD138,,,% CD138,,,,,,,%,,
% CD14 (MO2),2594,,% CD14 (MO2),,,,% CD14 (MO2),,,2,,,,%,,
% CD14 (MO2),2104,,% CD14 (MO2),CD14MO2,,,% CD14 (MO2),8111-7,,,,,,%,,
% CD14 (MY4),2643,,% CD14 (MY4),CD14MO2,,,% CD14 (MY4),8111-7,,,,,,%,,
% CD15,2595,,% CD15,,,,% CD15,,,2,,,,%,,
% CD15,2612,,% CD15,,,,% CD15,,,2,,,,%,,
% CD15,3863,CD15,% CD15,CD15,1,,% CD15,20590-6,,,,,,%,,
% CD16,3004,,% CD16,CD16,,,% CD16,8115-8,,,,,,%,,
% CD16,1530,,% CD16,,,,% CD16,,,2,,,,%,,
% CD16,2236,,% CD16,,,,% CD16,,,2,,,,%,,
% CD16,3872,,% CD16,,,,% CD16,,,2,,,,%,,
% CD16,1270,,% CD16,,,,% CD16,,,2,,,,%,,
"% CD16+, CD56+, CD3-",2153,,"% CD16+,CD56+,CD3-",,,,"% CD16+, CD56+, CD3-",,,2,,,,%,,
% CD18,4578,CD18,% CD18,CD18,1,,% CD18,38170-7,,,,,,%,,
% CD19,1532,,% CD19,,,,% CD19,,,2,,,,%,,
% CD19,3874,,% CD19,,,,% CD19,,,2,,,,%,,
% CD19,3005,CD19,% CD19,CD19,1,,% CD19,20593-0,,,,,,%,,
% CD19,1272,,% CD19,,,,% CD19,,,2,,,,%,,
% CD2,2231,,% CD2,,,,% CD2,,,2,,,,%,,
% CD2,3566,CD2,% CD2,CD2,1,,% CD2,8118-2,,,,,,%,,
% CD2,1266,,% CD2,,,,% CD2,,,2,,,,%,,
% CD2,1524,,% CD2,,,,% CD2,,,2,,,,%,,
% CD2,3866,,% CD2,,,,% CD2,,,2,,,,%,,
% CD2+/CD16+,7770,,% CD2+/CD16+,CD2CD16,,,% CD2+/CD16+,,,,,,,%,,
% CD20,3875,,% CD20,,,,% CD20,,,2,,,,%,,
% CD20,1533,,% CD20,,,,% CD20,,,2,,,,%,,
% CD20,2997,,% CD20,CD20,,,% CD20,20595-5,,,,,,%,,
% CD20,1273,,% CD20,,,,% CD20,,,2,,,,%,,
% CD200,11985,,% CD200,CD200,,,% CD200,,,,,,,%,,
% CD21,7333,,% CD21,CD21,,,% CD21,8120-8,,,,,,%,,
% CD22,3783,,% CD22,CD22,,,% CD22,14017-8,,,,,,%,,
% CD23,3876,,% CD23,CD23,,,% CD23,14018-6,,,,,,%,,
% CD23,2088,,% CD23,,,,% CD23,,,2,,,,%,,
% CD23,1820,,% CD23,,,,% CD23,,,2,,,,%,,
% CD24,8502,,% CD24,CD24,,,% CD24,20597-1,,,,,,%,,
% CD25,2496,,% CD25,,,,% CD25,,,2,,,,%,,
% CD25,4579,,% CD25,CD25,,,% CD25,8121-6,,,,,,%,,
% CD26,4580,,% CD26,CD26,,,% CD26,,,,,,,%,,
% CD28,11982,,% CD28,CD28,,,% CD28,,,,,,,%,,
% CD3,1525,,% CD3,,,,% CD3,,,2,,,,%,,
% CD3,3000,CD3,% CD3,CD3,1,,% CD3,8124-0,,,,,,%,,
% CD3,2271,,% CD3,,,,% CD3,,,2,,,,%,,
% CD3,1267,,% CD3,,,,% CD3,,,2,,,,%,,
% CD3,3867,,% CD3,,,,% CD3,,,2,,,,%,,
% CD3,2232,,% CD3,,,,% CD3,,,2,,,,%,,
"% CD3+, HLA-DR+",4581,,"% CD3+, HLA-DR+",PRCD3HLDR,,,"% CD3+, HLA-DR+",18408-5,,,,,,%,,
% CD3+/A-B+,4182,CD3,% CD3+/A-B+,CD3,1,,% CD3+/A-B+,8124-0,,,,,,%,,
% CD3+/CD56+,7773,,% CD3+/CD56+,CD3CD56,,,% CD3+/CD56+,,,,,,,%,,
% CD3+/CD57+,7774,,% CD3+/CD57+,CD3CD57,,,% CD3+/CD57+,,,,,,,%,,
% CD3+CD25+ LYM,13906,,% Cd3+Cd25+ Lym,CD3CD25LYM,,,% CD3+CD25+ LYM,13333-0,,,,,,,,
% CD3-/CD56+,7771,,% CD3-/CD56+,CD3MNCD56,,,% CD3-/CD56+,,,,,,,%,,
% CD3-/CD57+,7772,,% CD3-/CD57+,CD3MNCD57,,,% CD3-/CD57+,,,,,,,%,,
% CD30,7316,,% CD30,CD30,,,% CD30,17137-1,,,,,,%,,
% CD33,2596,,% CD33,,,,% CD33,,,2,,,,%,,
% CD33,1927,,% CD33,,,,% CD33,,,2,,,,%,,
% CD33,3816,,% CD33,CD33,,,% CD33,8102-6,,,,,,%,,
% CD34,1537,,% CD34,,,,% CD34,,,2,,,,%,,
% CD34,1277,,% CD34,,,,% CD34,,,2,,,,%,,
% CD34,3007,,% CD34,CD34,,,% CD34,20602-9,,,,,,%,,
% CD34,3880,,% CD34,,,,% CD34,,,2,,,,%,,
% CD38,1822,,% CD38,,,,% CD38,,,2,,,,%,,
% CD38,3882,,% CD38,,,,% CD38,,,2,,,,%,,
% CD38,1928,,% CD38,,,,% CD38,,,2,,,,%,,
% CD38,3819,,% CD38,CD38,,,% CD38,20603-7,,,,,,%,,
% CD4,3868,,% CD4,,,,% CD4,,,2,,,,%,,
% CD4,3074,CD4,% CD4,CD4,1,,% CD4,8123-2,,,,,,%,,
% CD4,1526,,% CD4,,,,% CD4,,,2,,,,%,,
% CD4,1314,,% CD4,,,,% CD4,,,2,,,,%,,
% CD4+CD25+CD127LOW (TREGS),11002,,% CD4+CD25+CD127Low (Tregs),C4C25C127LOW,,,% CD4+CD25+CD127LOW (TREGS),,,,,,,%ofCD4+,,
% CD4+CD25+CD127LOWCD45RA+ (NN TREGS),11004,,% CD4+CD25+CD127LowCD45RA+ (Nn Tregs),C4C25C126C45,,,% CD4+CD25+CD127LOWCD45RA+ (NN TREGS),,,,,,,%ofCD4+,,
% CD4+CD25+CD127LOWCD45RO+ (N TREGS),11006,,% CD4+CD25+CD127LowCD45RO+ (N Tregs),C4C25C12745R,,,% CD4+CD25+CD127LOWCD45RO+ (N TREGS),,,,,,,%ofCD4+,,
% CD4+CD31+CD45RA+ (RTES),10312,CD4RTES,% CD4+CD31+CD45RA+ (RTES),CD4,1,,% CD4+CD31+CD45RA+ (RTES),8123-2,,,,,,%ofCD4+,,
% CD41,7707,,% CD41,CD41,,,% CD41,17148-8,,,,,,%,,
% CD42B,7708,,% CD42b,CD42B,,,% CD42B,17150-4,,,,,,%,,
% CD45,4034,,% CD45,CD45,,,% CD45,,,,,,,%,,
% CD45RA,3568,CD45RA,% CD45RA,CD45RA,1,,% CD45RA,17157-9,,,,,,%,,
% CD45RA,2150,,% CD45RA,,,,% CD45RA,,,2,,,,%,,
% CD45RO,3567,CD45RO,% CD45RO,CD45RO,1,,% CD45RO,41994-5,,,,,,%,,
% CD45RO,2148,,% CD45RO,,,,% CD45RO,,,2,,,,%,,
% CD5,2233,,% CD5,,,,% CD5,,,2,,,,%,,
% CD5,3869,,% CD5,,,,% CD5,,,2,,,,%,,
% CD5,1268,,% CD5,,,,% CD5,,,2,,,,%,,
% CD5,2993,,% CD5,CD5,,,% CD5,8132-3,,,,,,%,,
% CD5,1527,,% CD5,,,,% CD5,,,2,,,,%,,
"% CD5+, CD20+",4582,,"% CD5+, CD20+",PRCD5CD20,,,"% CD5+, CD20+",8104-2,,,,,,%,,
% CD52,7685,,% CD52,CD52,,,% CD52,,,,,,,%,,
% CD54,7686,,% CD54,CD54,,,% CD54,,,,,,,%,,
% CD56,2294,,% CD56,,,,% CD56,,,2,,,,%,,
% CD56,4030,,% CD56,,,,% CD56,,,2,,,,%,,
% CD56,3812,,% CD56,CD56,,,% CD56,21166-4,,,,,,%,,
% CD56,2237,,% CD56,,,,% CD56,,,2,,,,%,,
% CD56,1925,,% CD56,,,,% CD56,,,2,,,,%,,
% CD57,2238,,% CD57,,,,% CD57,,,2,,,,%,,
% CD57,3864,,% CD57,CD57,,,% CD57,8134-9,,,,,,%,,
% CD57,2295,,% CD57,,,,% CD57,,,2,,,,%,,
% CD57+CD3- (NK CELLS),9851,CD57CD3NK,% CD57+CD3- (NK Cells),PERCD57CD3,1,,% CD57+ CD3- (NK CELLS),51286-3,,,,,,%ofLymph,,
% CD61,2591,,% CD61,CD61,,,% CD61,20478-4,,,,,,%,,
% CD64,3817,,% CD64,CD64,,,% CD64,17183-5,,,,,,%,,
% CD64,1924,,% CD64,,,,% CD64,,,2,,,,%,,
% CD64,2592,,% CD64,,,,% CD64,,,2,,,,%,,
% CD7,2234,,% CD7,,,,% CD7,,,2,,,,%,,
% CD7,3001,,% CD7,CD7,,,% CD7,8135-6,,,,,,%,,
% CD7,3870,,% CD7,,,,% CD7,,,2,,,,%,,
% CD7,1269,,% CD7,,,,% CD7,,,2,,,,%,,
% CD7,1528,,% CD7,,,,% CD7,,,2,,,,%,,
% CD79B,8503,,% CD79b,CD79B,,,% CD79B,33991-1,,,,,,%,,
% CD8,1315,,% CD8,,,,% CD8,,,2,,,,%,,
% CD8,1529,,% CD8,,,,% CD8,,,2,,,,%,,
% CD8,2235,,% CD8,,,,% CD8,,,2,,,,%,,
% CD8,3871,,% CD8,,,,% CD8,,,2,,,,%,,
% CD8,2995,CD8,% CD8,CD8,1,,% CD8,32518-3,,,,,,%,,
% CD8 POS LYMPH,14597,,% CD8 Pos Lymph,CD8PSLMPH,,,% CD8 POS LYMPH,8101-8,,,,,,%,,
% CD8+CD57+ LYMPHS,13907,,% Cd8+Cd57+ Lymphs,CD8CD57LYMP,,,% CD8+CD57+ LYMPHS,13338-9,,,,,,,,
% CDW65,8504,,% CDw65,CDW65,,,% CDW65,,,,,,,%,,
% CYTOPLASMIC CD3,2293,,% Cytoplasmic CD3,PRCYTPLSMCD3,,,% CYTOPLASMIC CD3,17216-3,,,,,,%,,
% CYTOPLASMIC KAPPA,4031,,% Cytoplasmic Kappa,,,,% CYTOPLASMIC KAPPA,,,2,,,,%,,
% CYTOPLASMIC KAPPA,1922,,% Cytoplasmic Kappa,,,,% CYTOPLASMIC KAPPA,,,2,,,,%,,
% CYTOPLASMIC KAPPA,3813,,% Cytoplasmic Kappa,PRCYTPLSMCKP,,,% CYTOPLASMIC KAPPA,,,,,,,%,,
% CYTOPLASMIC LAMBDA,3814,,% Cytoplasmic Lambda,PRCYTPLSMCLM,,,% CYTOPLASMIC LAMBDA,,,,,,,%,,
% CYTOPLASMIC LAMBDA,4032,,% Cytoplasmic Lambda,,,,% CYTOPLASMIC LAMBDA,,,2,,,,%,,
% CYTOPLASMIC LAMDA,1923,,% Cytoplasmic LAMDA,,,,% CYTOPLASMIC LAMDA,,,2,,,,,,
% EOSINOPHILS FLUID,1120,,"% Eosinophils, Fluid",,,,% EOSINOPHILS FLUID,,,2,,,,%,,
% EOSINOPHILS FLUID,4572,PRESNPHLSF,"% Eosinophils, Fluid",PRESNPHLSFLD,1,,% EOSINOPHILS FLUID,32593-6,,,,,,%,,
% FMC7,3879,,% FMC7,FMC7,,,% FMC7,17220-5,,,,,,%,,
% FMC7,2089,,% FMC7,,,,% FMC7,,,2,,,,%,,
% FMC7,1821,,% FMC7,,,,% FMC7,,,2,,,,%,,
% FREE PROGESTERONE (DIALYSIS),14512,,% Free Progesterone (Dialysis),FREEPROGEST,,,% FREE PROGESTERONE (DIALYSIS),72890-7,,,,,,,,
% GAMMA-DELTA,2291,,% Gamma-Delta,LKLMPPHNPLTA,,,% GAMMA-DELTA,32861-7,,,,,,%,,
% GAMMA-DELTA,2403,,% Gamma Delta,,,,% GAMMA-DELTA,,,2,,,,%,,
% GLYCOPHORIN,7256,,% Glycophorin,PRGLYCPHRN,,,% GLYCOPHORIN,17221-3,,,,,,%,,
% HLA-DR,2597,,% HLA-DR,,,,% HLA-DR,,,2,,,,%,,
% HLA-DR,2105,,% HLA-DR,,,,% HLA-DR,,,2,,,,%,,
% HLA-DR,3565,HLADR,% HLA-DR,HLADR,1,,% HLA-DR,31113-4,,,,,,%,,
% KAPPA,3877,,% Kappa,,,,% KAPPA,,,2,,,,%,,
% KAPPA,1274,,% Kappa,,,,% KAPPA,,,2,,,,%,,
% KAPPA,3006,,% Kappa,KAPPA,,,% KAPPA,17096-9,,,,,,%,,
% KAPPA,1534,,% Kappa,,,,% KAPPA,,,2,,,,%,,
% LAMBDA,3878,,% Lambda,,,,% LAMBDA,,,2,,,,%,,
% LAMBDA,2998,,% Lambda,LAMBDA,,,% LAMBDA,17224-7,,,,,,%,,
% LAMBDA,1275,,% Lambda,,,,% LAMBDA,,,2,,,,%,,
% LAMBDA,1535,,% Lambda,,,,% LAMBDA,,,2,,,,%,,
% LYMPH,4181,,% Lymph,PLYMPH,,,% LYMPH,26478-8,,,,,,%,,
% LYMPH,2270,,% Lymphocytes,,,,% LYMPH,,,2,,,,%,,
% LYMPHOCYTES FLUID,1117,,"% Lymphocytes, Fluid",,,,% LYMPHOCYTES FLUID,,,2,,,,%,,
% LYMPHOCYTES FLUID,3294,PRLYMPHCYT,"% Lymphocytes, Fluid",PRLYMPHCYTSF,1,,% LYMPHOCYTES FLUID,11031-2,,,,,,%,,
% MB,4584,,% MB,MB,,,% MB,,,2,,,,,,
% MONOCYTES FLUID,4064,PRMNCYTSFL,"% Monocytes, Fluid",PRMNCYTSFLD,1,,% MONOCYTES FLUID,26487-9,,,,,,%,,
% MONONUCLEAR CELLS FLUID,3287,PRMNCLRCLS,"% Mononuclear Cells, Fluid",PRMNCLRCLSFL,1,,% MONONUCLEAR CELLS FLUID,,,,,,,%,,
% MONONUCLEAR CELLS FLUID,1118,,"% Mononuclear Cells, Fluid",,,,% MONONUCLEAR CELLS FLUID,,,2,,,,%,,
% MYELOPEROXIDASE,2642,,% Myeloperoxidase,,,,% MYELOPEROXIDASE,,,2,,,,%,,
% MYELOPEROXIDASE,2590,,% Myeloperoxidase,LKLMPPHNPASE,,,% MYELOPEROXIDASE,32759-3,,,,,,%,,
% NATURAL KILLER CELLS,3569,PRNTRLKLRC,% Natural Killer Cells,PRNTRLKLRCLS,1,,% NATURAL KILLER CELLS,32519-1,,,,,,%,,
% NK (CD56/16),14215,,% Nk (Cd56/16),NKCD5616,,,% NK (CD56/16),42189-1,,,,,,,,
% NK-CELLS,2532,,% Natural Killer Cells,,,,% NK-CELLS,,,2,,,,%,,
% NORMAL PMNS,4586,,% Normal PMNs,PRNRMLPMNS,,,% NORMAL PMNS,,,,,,,%,,
% NORMAL RBCS,4587,,% Normal RBCs,PRNRMLRBCS,,,% NORMAL RBCS,,,,,,,%,,
% OF NUCLEI STAINING (ER),4588,PROFNCLSTN,% of Nuclei (ER) Staining,PROFNCLSTNGE,1,,% OF NUCLEI STAINING (ER),14228-1,,,,,,%,,
% OF NUCLEI STAINING (PR),4589,PROFNCLSTN,% of Nuclei (PR) Staining,PROFNCLSTNGP,1,,% OF NUCLEI STAINING (PR),14230-7,,,,,,%,,
% OF TUMOR STAINING POSITIVE (P53),4590,,p53 % Tumor Cells,PROFTMRSTNGP,,,% OF TUMOR STAINING POSITIVE (P53),31149-8,,,,,,%,,
% OTHER-BODY FLUID CELL COUNT,2435,,% Others,,,,% OTHER-BODY FLUID CELL COUNT,,,2,,,,%,,
% OTHER-BODY FLUID CELL COUNT,4401,PROTHRBDYF,"% Others, Fluid",PROTHRBDYFLD,1,,% OTHER-BODY FLUID CELL COUNT,26473-9,,,,,,%,,
% PMN FLUID,3293,PMNFLUID,"% Neutrophils, Fluid",PMNFLUID,1,,% PMN FLUID,26513-2,,,,,,%,,
% PMN FLUIDS,1119,,% PMN Fluids,,,,% PMN FLUIDS,,,2,,,,%,,
% PNH CELLS,4591,,% PNH Cells,PNHCELLS,,,% PNH CELLS,,,,,,,%,,
% POSITIVE TUMOR NUCLEI,14111,,% Positive Tumor Nuclei,POSITIVETUM,,,% POSITIVE TUMOR NUCLEI,29593-1,,,,,,,,
% RECOVERY,3658,,"Thyroglobulin Ab, % Recovery",RECOVERY,,,% RECOVERY,38505-4,,,,,,%,,
% RECOVERY,1344,,"Thyroglobulin Ab, % Recovery",,,,% RECOVERY,,,2,,,,,,
% SATURATION,11490,,% Saturation,TRNSFRNSTRTN,1,,% SATURATION,2502-3,,,,,,%,,
% SEZARY CELLS,4592,,% Sezary Cells,PRSZRYCLS,,,% SEZARY CELLS,,,,,,,%,,
% SIG IGA,4593,,% SIg IgA,SIGIGA,,,% SIG IGA,9440-9,,,,,,%,,
% SIG IGD,4594,,% SIg IgD,SIGIGD,,,% SIG IGD,9441-7,,,,,,%,,
% SIG IGG,4595,,% SIg IgG,SIGIGG,,,% SIG IGG,9442-5,,,,,,%,,
% SIG IGM,4596,,% SIg IgM,SIGIGM,,,% SIG IGM,9443-3,,,,,,%,,
% SIG TOTAL,4597,,% SIg Total,SIGTOTAL,,,% SIG TOTAL,17225-4,,,,,,%,,
% SURFACE KAPPA,11983,,% Surface Kappa,SRFCKPPA,,,% SURFACE KAPPA,,,,,,,,,
% SURFACE LAMBDA,11984,,% Surface Lambda,SRFCLMBD,,,% SURFACE LAMBDA,,,,,,,,,
% TDT,2296,,% TdT,TDT,,,% TDT,52996-6,,,,,,%,,
% TUMOR CELLS STAINING:,15295,,% Tumor Cells Staining:,CMNPSTSCR,,,% TUMOR CELLS STAINING,83053-9,,,,,,,,
"%SMALL, DENSE LDL-C",11060,,"%Small, dense LDL-C",SDLDLCPERCT,,,"%SMALL, DENSE LDL-C",,,,,,,,,
"(1,3)-BETA-D-GLUCAN",7127,13BDGLCN,"(1,3)-beta-D-glucan",13BDGLCN,1,,"(1, 3)-BETA-D-GLUCAN",42176-8,,,,,,pg/mL,,
"(1,3)-BETA-D-GLUCAN INTERPRETATION",7131,13BDGLCNIN,"(1,3)-beta-D-glucan Interpretation",13BDGLCNINTR,1,,"(1, 3)-BETA-D-GLUCAN INTERPRETATION",,,,,,,,,
(ALWAYS MESSAGE),13471,,(Always Message),LWYSMSSG,,,(ALWAYS MESSAGE),,,,,,,,,
0000000,2621,,0000000,,,,0000000,,,2,,,,,,
02 SAT,721,02 SAT,02 SAT,O2SAT,,,O2 SAT,59408-5,,,,<92%,,UNITS:%,<92%,
1 1/2 HOUR ACTUAL DRAW TIME,4598,,1.5 Hr Draw Time,12HRACTLDRWT,,,1 1/2 HOUR ACTUAL DRAW TIME,29264-9,,,,,,,,
1 1/2 HOUR POST DOSE,4599,,1.5 Hr Post Dose,90MNPSTDS,,,1 1/2 HOUR POST DOSE,38431-3,,,,,,,,
1 HOUR ACTUAL DRAW TIME,4600,,1 Hr Draw Time,12HRACTLDRWT,,,1 HOUR ACTUAL DRAW TIME,29264-9,,,,,,,,
1 HOUR GLUCOSE,303,,"Glucose, 1 Hour",1HRGLUC,,,1 HOUR GLUCOSE,20438-8,,,,,,mg/dL,,
1 HOUR POST DOSE,4601,,1 Hr Post Dose,1HRPSTDS,,,1 HOUR POST DOSE,38430-5,,,,,,mg/dL,,
1 HOUR SUGAR,2513,,1 Hr Sugar,,,,1 HOUR SUGAR,,,2,,,,MG/DL,,
1 HOUR URINE,304,,1 Hr Urine,1HRUR,,,1 HOUR URINE,,,2,,,,,,
1 HR P. P. GLUCOSE,179,,"Glucose Screen, Pregnancy",GLU1,,,1 HR P. P. GLUCOSE,1504-0,,,,,,mg/dL,,
"1,25-DI-OH VIT D-2",14428,,"1, 25-Di-Oh Vit D-2",125DIOHVITD2,,,"1, 25-DI-OH VIT D-2",62291-0,,,,,,pg/mL,,
"1,3 CHLOROPHENYL PIPERAZINE",14542,,"1,3 Chlorophenyl Piperazine",13CHLOROPHEN,,,"1,3 CHLOROPHENYL PIPERAZINE",75230-3,,,,,,,,
"1,5 ANHYDROGLUCITOL QUANTITATIVE, SERUM OR PLASMA",5691,GLYCOMARK,"1,5 Anhydroglucitol Quant, Serum/Plasma",GLYCOMARK,1,,"1, 5 ANHYDROGLUCITOL QUANT, SERUM/PLASMA",53835-5,,,,,,ug/mL,,
1-HYDROXYMIDAZOLAM,17100,,1-Hydroxymidazolam,HYDRXYMDZLMU,,,HYDROXYMIDAZOLAM,59589-2,,,,,,,,
"1-METHYLHISTIDINE, URINE",17192,,1-Methylhistidine/Creatinine,MTHYLHSTDNUR,,,"1-METHYLHISTIDINE, URINE",26574-4,,,,,,,,
1-NAPHTHOL,4618,,"Naphthalene Metab, 1-Naphthol",1NAPHTHOL,,,1-NAPHTHOL,,,,,,,,,
1/2 HOUR ACTUAL DRAW TIME,4602,,.5 Hr Draw Time,12HRACTLDRWT,,,1/2 HOUR ACTUAL DRAW TIME,29264-9,,,,,,,,
1/2 HOUR POST DOSE,4603,,.5 Hr Post Dose,30MNPSTDS,,,1/2 HOUR POST DOSE,,,,,,,ug/mL,,
11-DEHYDRO TXB2/CREAT RATIO,14301,,11-Dehydro Txb2/Creat Ratio,11DEHYDROTXB,,,11-DEHYDRO TXB2/CREAT RATIO,49734-7,,,,,,,,
"11-DEOXYCORTICOSTERONE, HPLC",9720,11DEOXYCOR,"11-Deoxycorticosterone, HPLC",11DEOXYCORTH,1,,"11-DEOXYCORTICOSTERONE, HPLC",1656-8,,,,,,ng/dL,,
11-DEOXYCORTISOL,4604,1DXYCRTSL,11-Deoxycortisol,1DXYCRTSL,1,,11-DEOXYCORTISOL,1657-6,,,,,,ng/dL,,
"11-NOR-9-CARBOXY-THC, SP, QUANT",7764,DRGCNFCNBN,"11-Nor-9-carboxy-THC, SP, Qnt",DRGCNFCNBNDS,1,,"DRUG CONFIRMATION, CANNABINOIDS, ",8170-3,,,,,,ng/mL,,
"11-NOR-9-CARBOXY-THC, URN, QUANT",4437,THCMETBQN,"11-Nor-9-carboxy-THC, Urn, Qnt",DRGCNFCNBNDU,1,,"DRUG CONFIRMATION, CANNABINOIDS, URINE",3436-3,,,,,,ng/mL,,
11DEOXYCORTICOSTERONE,1435,,11-Deoxycorticosterone,11DEOXYCORTH,,,11 DEOXYCORTISOL,1656-8,,,,,,ng/dL,,
12311000100,16023,,12311000100,,,,12311000100,,,,,,,,,
14-3-3 ETA PROTEIN,12257,1433PRTN,14-3-3 eta Protein,1433PRTN,1,,14-3-3 ETA PROTEIN,,,,,,,,,
"14-3-3 PROTEIN TAU, TOTAL, CSF",12622,1433PRTAUC,"14-3-3 Protein Tau, Total, CSF",1433PRTAUCSF,1,,"14-3-3 PROTEIN TAU, TOTAL, CSF",,,,,,,,,
14-3-3 PROTEIN TAU/THETA RFLX TO RT-QUIC,10593,,14-3-3 Protein Tau/Theta Rflx to RT-QuIC,1433PRTARFLX,,,14-3-3 PROTEIN TAU/THETA RFLX TO RT-QUIC,,,,,,,,,
"14-3-3 PROTEIN TAU/THETA, CSF",9574,,"14-3-3 Protein Tau/Theta, CSF",1433PTTAUTHE,,,"14-3-3 PROTEIN TAU/THETA, CSF",19146-0,,,,,,,,
14.3.3 ETA PROTEIN,13469,,14.3.3 Eta Protein,1433TPRTN,,,14.3.3 ETA PROTEIN,75880-5,,,,,,,,
"14.3.3 ETA, RHEUM. ARTHRITIS",17131,,"14.3.3 ETA, Rheum. Arthritis",1433ETARHEUM,,,"14.3.3 ETA, RHEUM. ARTHRITIS",75880-5,,,,,,ng/mL,,
"17 KETOSTEROIDES, URINE",514,,"17-Ketosteroides, Urine",,,,"17 KETOSTEROIDES, URINE",,,2,,,,,,
17 OH-CORTICOSTEROIDS MG/DAY,4211,17OHCRTCST,17-OH-Corticosteroids 24 Hr,17OHCRTCSTRD,1,,17 OH-CORTICOSTEROIDS MG/DAY,21036-9,,,,,,mg/d,,
17-HYDROXYPREGNENOLONE 30-MIN,4605,17HDRXYPRG,17-OH-Pregnenolone 30 Min,17HDRXYPRG30,1,,17-HYDROXYPREGNENOLONE 30-MIN,56522-6,,,,,,ng/dL,,
